revision_count,average_score,days_since_learning,days_since_last_revision,topic_complexity,retention_score
4,9.91,289,47,1,4.230000000000004
6,5.53,225,129,5,0.0
13,2.6,10,49,7,14.299999999999997
1,1.35,168,132,2,0.0
5,3.33,324,97,6,0.0
5,5.88,33,9,6,65.64
9,2.58,77,100,8,0.0
2,5.08,160,123,6,0.0
7,3.27,272,173,10,0.0
12,2.15,39,97,7,0.0
2,7.42,222,49,5,0.0
13,7.53,71,144,10,0.0
4,6.91,58,180,3,0.0
14,1.31,291,111,8,0.0
8,4.35,56,155,7,0.0
4,6.18,278,33,5,15.039999999999992
14,9.35,108,97,9,0.0
9,6.97,176,159,2,0.0
17,6.38,286,171,3,0.0
11,9.34,203,139,7,0.0
3,4.86,298,113,4,0.0
13,7.33,302,96,8,0.0
11,6.72,41,171,7,0.0
4,3.49,164,144,8,0.0
8,4.24,222,79,6,0.0
9,3.17,149,20,4,58.510000000000005
6,7.59,82,89,1,0.0
16,3.34,172,147,7,0.0
4,7.03,353,63,3,0.0
19,7.89,97,21,1,100.0
0,2.22,47,67,3,0.0
12,9.39,307,103,6,0.0
19,8.89,347,117,4,0.0
19,9.73,181,114,1,0.0
5,6.87,54,173,3,0.0
17,4.69,311,64,6,12.069999999999993
16,7.67,151,7,4,100.0
12,7.72,145,82,7,0.0
14,8.75,39,113,1,0.0
11,1.75,245,1,10,93.25
15,6.02,343,16,9,97.56
8,2.8,1,102,10,0.0
9,5.15,264,65,1,0.0
13,3.23,316,95,9,0.0
2,9.83,50,65,4,0.0
7,4.46,209,122,4,0.0
3,4.04,56,11,7,44.620000000000005
16,3.54,258,113,10,0.0
20,2.01,362,122,2,0.0
1,6.61,62,158,3,0.0
2,9.97,353,72,10,0.0
15,7.69,61,56,10,21.069999999999993
14,4.2,18,58,6,7.599999999999994
15,7.09,249,37,6,63.27000000000001
17,4.69,300,162,5,0.0
12,5.37,245,165,8,0.0
20,7.57,258,53,9,53.21000000000001
14,5.98,100,22,10,78.94
8,5.29,165,4,7,87.37
15,7.83,144,46,5,48.99000000000001
9,9.33,142,61,5,0.0
18,4.26,123,148,1,0.0
12,7.27,345,93,9,0.0
15,2.59,85,40,9,39.27000000000001
4,7.46,244,58,10,0.0
10,4.74,334,96,2,0.0
0,6.51,341,170,6,0.0
0,6.62,20,173,7,0.0
11,2.49,238,110,4,0.0
1,4.33,270,25,10,2.989999999999995
3,8.3,73,84,3,0.0
15,3.32,161,134,4,0.0
1,8.74,244,91,2,0.0
17,9.83,334,8,6,100.0
12,5.48,306,176,4,0.0
16,4.7,207,161,4,0.0
7,2.45,188,158,1,0.0
19,6.04,112,101,6,0.0
7,9.51,35,99,9,0.0
5,5.68,232,172,7,0.0
11,8.96,183,69,9,0.0
8,3.63,334,84,5,0.0
18,4.5,253,105,4,0.0
7,1.05,104,167,4,0.0
0,1.07,54,136,5,0.0
18,1.13,69,139,2,0.0
6,7.89,53,113,6,0.0
3,7.52,151,44,10,0.0
15,4.83,54,92,3,0.0
1,9.98,186,174,7,0.0
6,6.73,17,10,6,71.19
8,5.05,60,68,10,0.0
15,3.88,279,168,5,0.0
20,7.88,56,175,3,0.0
5,4.98,203,162,2,0.0
5,4.02,94,110,1,0.0
7,8.37,57,25,7,49.61
8,6.27,157,8,2,89.81
20,8.84,210,16,4,100.0
16,8.11,14,67,7,9.829999999999984
20,1.95,167,124,8,0.0
20,8.33,193,81,1,11.490000000000009
6,1.12,6,6,6,62.36
19,9.47,246,34,10,90.41
11,3.88,53,81,4,0.0
11,7.83,163,57,2,11.490000000000009
18,7.22,313,94,9,0.0
19,3.73,20,34,8,76.19
9,9.97,69,61,2,0.0
3,5.85,239,130,4,0.0
9,9.4,168,153,10,0.0
10,2.06,286,45,6,7.180000000000007
10,7.98,64,56,5,4.439999999999998
3,1.46,328,8,7,42.879999999999995
20,1.14,33,48,2,54.41999999999999
14,6.08,140,88,5,0.0
18,1.17,61,156,3,0.0
9,3.6,356,18,4,63.8
11,2.29,335,63,6,0.0
18,9.13,333,168,5,0.0
15,5.21,110,93,10,0.0
6,9.61,187,41,10,11.829999999999998
6,7.16,193,57,1,0.0
7,4.96,221,141,4,0.0
17,6.57,119,125,9,0.0
20,5.18,122,100,3,0.0
3,9.04,273,104,8,0.0
1,6.28,39,141,3,0.0
5,1.51,256,6,8,55.53
6,7.64,180,157,1,0.0
0,3.81,98,30,7,0.0
4,8.21,353,76,7,0.0
17,6.64,3,66,10,7.9199999999999875
13,7.14,54,21,7,83.91999999999999
1,3.97,186,73,10,0.0
0,4.57,353,97,5,0.0
6,3.77,59,172,7,0.0
17,7.68,45,43,4,66.03999999999999
4,1.93,105,162,1,0.0
0,4.57,175,50,8,0.0
10,1.49,43,89,10,0.0
2,3.67,292,119,6,0.0
1,4.04,352,113,5,0.0
5,9.78,162,7,1,88.84
2,9.41,151,167,9,0.0
18,7.65,102,152,2,0.0
3,5.0,340,12,6,47.0
9,8.5,40,26,9,55.0
19,1.25,325,45,3,54.25
2,1.57,47,147,1,0.0
16,8.51,337,9,6,100.0
8,1.17,290,79,6,0.0
8,2.9,270,98,7,0.0
1,3.48,44,136,6,0.0
10,5.62,43,12,8,80.86
4,4.56,94,178,10,0.0
0,6.63,169,134,1,0.0
1,6.89,252,46,9,0.0
7,2.59,295,167,3,0.0
20,7.11,15,86,4,0.0
19,1.28,296,45,9,45.34
12,7.11,60,96,6,0.0
2,1.51,167,172,6,0.0
0,2.3,268,8,3,36.4
13,4.37,351,64,7,0.0
8,2.99,168,156,10,0.0
20,1.6,26,110,6,0.0
16,1.18,179,1,3,100.0
13,7.34,44,83,3,0.0
11,1.65,233,55,2,0.0
17,1.78,251,128,1,0.0
13,6.18,288,130,7,0.0
4,2.87,221,30,9,5.109999999999999
0,9.2,43,155,2,0.0
2,9.26,154,78,2,0.0
5,5.7,47,118,10,0.0
10,3.51,122,55,10,0.0
14,9.44,192,153,8,0.0
15,5.23,174,126,7,0.0
1,6.46,305,59,3,0.0
0,5.78,341,97,6,0.0
17,8.42,93,27,8,94.25999999999999
10,6.68,95,35,7,39.53999999999999
17,2.52,217,173,2,0.0
19,1.87,314,57,10,21.610000000000014
16,8.11,90,171,8,0.0
17,4.74,27,25,6,90.22
17,5.31,90,127,6,0.0
6,9.43,207,126,5,0.0
9,4.44,304,77,7,0.0
9,4.27,300,138,9,0.0
20,7.24,357,117,2,0.0
16,7.05,122,154,2,0.0
13,3.74,232,147,6,0.0
15,3.62,147,169,2,0.0
10,4.13,273,96,2,0.0
12,4.63,316,126,3,0.0
4,4.73,158,151,4,0.0
0,8.15,327,26,7,11.950000000000003
0,9.4,197,60,8,0.0
12,3.37,199,150,4,0.0
4,6.86,291,17,9,43.08
4,7.03,84,33,3,20.590000000000003
11,4.21,163,166,3,0.0
17,7.65,215,50,5,50.44999999999999
9,4.92,166,92,6,0.0
12,2.67,284,62,8,0.0
11,5.99,335,119,10,0.0
20,8.46,188,117,7,0.0
13,9.9,346,45,3,50.19999999999999
9,1.53,227,91,2,0.0
16,5.21,94,21,1,100.0
14,2.63,335,177,5,0.0
2,5.81,130,9,6,50.43000000000001
0,7.62,297,60,4,0.0
10,1.89,182,157,9,0.0
17,9.08,353,37,2,85.24000000000001
18,2.25,205,16,2,100.0
19,4.37,45,148,4,0.0
20,3.98,76,173,4,0.0
2,8.78,114,64,1,0.0
14,3.62,93,13,8,92.86000000000001
0,1.86,209,83,2,0.0
9,1.32,203,63,1,0.0
3,6.74,292,164,4,0.0
9,5.89,342,62,7,0.0
18,1.07,326,7,10,100.0
19,5.31,15,161,2,0.0
20,2.13,35,10,6,100.0
1,9.29,76,7,9,55.370000000000005
6,6.46,217,16,8,55.379999999999995
5,2.51,66,87,4,0.0
16,9.89,234,107,3,0.0
8,7.12,304,100,3,0.0
6,8.75,322,31,5,36.75
14,3.12,51,41,1,45.860000000000014
7,5.27,87,151,8,0.0
16,1.24,108,28,9,64.22
16,9.41,167,75,6,0.0
1,9.31,275,92,4,0.0
11,7.16,238,105,9,0.0
0,5.27,86,17,1,30.310000000000002
16,5.44,28,172,8,0.0
6,5.37,296,66,9,0.0
18,5.01,175,130,3,0.0
3,5.98,132,155,2,0.0
17,6.69,23,12,10,100.0
7,7.68,118,70,5,0.0
1,3.11,266,30,9,0.0
6,6.77,159,44,3,7.810000000000002
18,1.98,200,30,3,81.44
3,5.83,132,134,6,0.0
7,7.28,280,49,1,7.340000000000003
19,8.7,193,1,2,100.0
1,8.26,30,99,1,0.0
17,4.74,120,160,4,0.0
16,2.96,341,115,10,0.0
14,5.16,77,160,5,0.0
13,1.41,189,134,3,0.0
7,9.78,101,18,10,63.34
18,6.28,243,11,4,100.0
19,6.19,119,96,8,0.0
11,7.8,297,52,4,18.400000000000006
18,2.72,137,36,3,71.66
11,5.19,66,39,7,32.06999999999999
0,7.51,257,154,1,0.0
0,7.75,60,176,3,0.0
1,5.39,143,10,8,39.17
15,2.36,54,129,4,0.0
8,3.74,252,133,10,0.0
10,3.89,159,102,6,0.0
14,1.08,300,117,8,0.0
6,3.45,100,95,5,0.0
3,7.28,308,121,10,0.0
11,3.35,137,106,8,0.0
9,3.28,79,167,10,0.0
2,7.34,241,21,1,38.519999999999996
12,7.28,95,124,10,0.0
19,6.21,157,26,8,99.63
20,8.43,48,7,7,100.0
5,7.15,137,79,10,0.0
13,9.27,79,99,7,0.0
4,2.49,345,48,4,0.0
14,8.22,174,7,9,100.0
2,1.58,295,1,3,58.239999999999995
17,6.58,264,88,9,0.0
14,9.44,85,96,6,0.0
11,3.51,362,95,3,0.0
2,8.5,254,1,1,82.0
7,4.25,86,55,7,0.0
4,9.34,229,165,10,0.0
4,7.65,132,53,6,0.0
9,5.88,72,81,8,0.0
7,7.88,242,48,7,2.1400000000000006
9,9.32,18,101,10,0.0
5,8.74,339,127,6,0.0
7,9.12,108,34,1,42.86
4,5.33,140,14,8,45.989999999999995
17,3.29,91,95,6,0.0
19,7.58,195,147,9,0.0
4,6.19,350,13,7,52.06999999999999
20,3.44,299,161,7,0.0
19,6.01,133,3,6,100.0
14,2.22,339,81,10,0.0
13,4.36,117,157,9,0.0
9,2.85,93,130,2,0.0
12,1.55,221,69,2,0.0
5,7.55,252,48,8,0.0
4,9.49,54,143,8,0.0
13,6.15,74,66,6,0.0
11,7.8,25,140,9,0.0
18,6.46,73,176,1,0.0
4,6.75,314,150,8,0.0
3,8.82,91,90,1,0.0
2,8.93,308,146,1,0.0
1,3.67,3,176,1,0.0
4,1.78,302,79,1,0.0
11,3.41,192,114,9,0.0
13,4.34,314,112,1,0.0
17,9.28,204,126,9,0.0
20,6.47,212,94,2,0.0
4,3.57,81,61,8,0.0
9,6.94,12,57,3,0.0
8,1.62,343,90,9,0.0
0,5.36,275,40,3,0.0
15,7.97,226,113,10,0.0
3,4.43,245,137,6,0.0
20,8.87,36,14,1,100.0
8,6.62,174,96,5,0.0
0,2.24,33,134,10,0.0
2,7.14,20,41,8,0.0
4,6.36,14,54,7,0.0
1,2.94,125,175,3,0.0
7,1.91,23,54,1,0.0
3,3.65,193,163,9,0.0
6,1.5,38,106,2,0.0
20,8.12,77,110,5,0.0
18,4.52,191,20,7,100.0
4,5.92,146,156,1,0.0
16,5.14,11,112,6,0.0
